Longitude,Latitude,id,RSRP,L,FB,PCI,RSRQ,RSSI,RSP,D,SINR,Hb,Hm,Husr,deltaH,LOS,UCI,CCI
12.520225,55.779874,76,-70.06,571.0328810000001,811,64,-13.02,-49.78,18,571.7436498844218,26.66,60,1.5,38.0,22.0,False,14,14
12.520223,55.77987,77,-70.06,571.493163,811,64,-13.02,-49.78,18,572.203360140208,26.66,60,1.5,38.0,22.0,False,14,14
12.520221,55.779866,78,-70.06,571.953448,811,64,-13.02,-49.78,18,572.6630743107929,26.66,60,1.5,38.0,22.0,False,14,14
12.520219,55.779861,79,-70.06,572.517662,811,64,-13.02,-49.78,18,573.2265898420503,26.66,60,1.5,38.0,22.0,False,14,14
12.520215,55.779854,80,-71.65,573.334321,811,64,-13.01,-51.69,18,574.0422402894504,23.17,60,1.5,38.0,22.0,False,14,14
12.520213,55.77985,81,-71.65,573.7946189999999,811,64,-13.01,-51.69,18,574.5019710961443,23.17,60,1.5,38.0,22.0,False,14,14
12.520211,55.779846,82,-71.65,574.2549190000001,811,64,-13.01,-51.69,18,574.9617048079782,23.17,60,1.5,38.0,22.0,False,14,14
12.520209,55.779841,83,-71.65,574.819162,811,64,-13.01,-51.69,18,575.525254877996,23.17,60,1.5,37.0,23.0,False,14,14
12.520206,55.779837,84,-71.65,575.30174,811,64,-13.01,-51.69,18,576.0072413147491,23.17,60,1.5,37.0,23.0,False,14,14
12.520204,55.779833,85,-71.65,575.7620479999999,811,64,-13.01,-51.69,18,576.4669859733116,23.17,60,1.5,37.0,23.0,False,14,14
12.520202,55.779829,86,-71.65,576.222359,811,64,-13.01,-51.69,18,576.926734526599,23.17,60,1.5,37.0,23.0,False,14,14
12.5202,55.779825,87,-71.65,576.682673,811,64,-13.01,-51.69,18,577.3864869724828,23.17,60,1.5,37.0,23.0,False,14,14
12.520198,55.77982,88,-68.03,577.246943,811,64,-12.96,-48.04,18,577.9500698181853,25.05,60,1.5,37.0,23.0,False,14,14
12.520196,55.779816,89,-68.03,577.707266,811,64,-12.96,-48.04,18,578.4098332404064,25.05,60,1.5,37.0,23.0,False,14,14
12.520193,55.779812,90,-68.03,578.189837,811,64,-12.96,-48.04,18,578.8918185724225,25.05,60,1.5,37.0,23.0,False,14,14
12.520191,55.779808,91,-68.03,578.650161,811,64,-12.96,-48.04,18,579.3515848129924,25.05,60,1.5,37.0,23.0,False,14,14
12.520189,55.779804,92,-68.03,579.110488,811,64,-12.96,-48.04,18,579.8113549350325,25.05,60,1.5,37.0,23.0,False,14,14
12.520188,55.7798,93,-68.03,579.548585,811,64,-12.96,-48.04,18,580.2489227697905,25.05,60,1.5,37.0,23.0,False,14,14
12.520186,55.779796,94,-68.03,580.008923,811,64,-12.96,-48.04,18,580.7087055999934,25.05,60,1.5,37.0,23.0,False,14,14
12.520184,55.779792,95,-68.03,580.4692630000001,811,64,-12.96,-48.04,18,581.1684913067494,25.05,60,1.5,37.0,23.0,False,14,14
12.520181,55.779786,96,-68.64,581.1597790000001,811,64,-12.97,-48.53,18,581.8581775031859,24.43,60,1.5,37.0,23.0,False,14,14
12.520179,55.779782,97,-68.64,581.620126,811,64,-12.97,-48.53,18,582.3179723898755,24.43,60,1.5,37.0,23.0,False,14,14
12.520177,55.779778,98,-68.64,582.080477,811,64,-12.97,-48.53,18,582.7777721435054,24.43,60,1.5,37.0,23.0,False,14,14
12.520175,55.779774,99,-68.64,582.54083,811,64,-12.97,-48.53,18,583.2375747644256,24.43,60,1.5,37.0,23.0,False,14,14
12.520173,55.779771,100,-68.64,582.897198,811,64,-12.97,-48.53,18,583.5935173014273,24.43,60,1.5,37.0,23.0,False,14,14
12.520171,55.779767,101,-68.64,583.357554,811,64,-12.97,-48.53,18,584.0533244566484,24.43,60,1.5,37.0,23.0,False,14,14
12.520169,55.779763,102,-68.64,583.817913,811,64,-12.97,-48.53,18,584.5131354723139,24.43,60,1.5,37.0,23.0,False,14,14
12.520167,55.779759,103,-68.64,584.278275,811,64,-12.97,-48.53,18,584.9729503464033,24.43,60,1.5,37.0,23.0,False,14,14
12.520166,55.779756,104,-66.91,584.612456,811,64,-12.97,-46.49,18,585.3067347215064,27.4,60,1.5,37.0,23.0,False,14,14
12.520164,55.779752,105,-66.91,585.072825,811,64,-12.97,-46.49,18,585.7665580702611,27.4,60,1.5,37.0,23.0,False,14,14
12.520162,55.779749,106,-66.91,585.4291929999999,811,64,-12.97,-46.49,18,586.1225042741758,27.4,60,1.5,37.0,23.0,False,14,14
12.52016,55.779745,107,-66.91,585.889565,811,64,-12.97,-46.49,18,586.5823321375177,27.4,60,1.5,37.0,23.0,False,14,14
12.520159,55.779742,108,-66.91,586.22376,811,64,-12.97,-46.49,18,586.9161326701947,27.4,60,1.5,37.0,23.0,False,14,14
12.520157,55.779738,109,-66.91,586.6841390000001,811,64,-12.97,-46.49,18,587.3759689961545,27.4,60,1.5,37.0,23.0,False,14,14
12.520156,55.779735,110,-66.91,587.018344,811,64,-12.97,-46.49,18,587.7097805826463,27.4,60,1.5,37.0,23.0,False,14,14
12.520154,55.779731,111,-66.91,587.4787299999999,811,64,-12.97,-46.49,18,588.1696253653471,27.4,60,1.5,37.0,23.0,False,14,14
12.520151,55.779726,112,-69.6,588.065293,811,64,-12.92,-49.37,18,588.7555000432487,22.92,60,1.5,37.0,23.0,False,14,14
12.520149,55.779723,113,-69.6,588.421662,811,64,-12.92,-49.37,18,589.1114515190162,22.92,60,1.5,37.0,23.0,False,14,14
12.520148,55.77972,114,-69.6,588.75588,811,64,-12.92,-49.37,18,589.4452784055314,22.92,60,1.5,37.0,23.0,False,14,14
12.520146,55.779717,115,-69.6,589.112249,811,64,-12.92,-49.37,18,589.8012308581917,22.92,60,1.5,37.0,23.0,False,14,14
12.520144,55.779714,116,-69.6,589.4686180000001,811,64,-12.92,-49.37,18,590.157183813626,22.92,60,1.5,37.0,23.0,False,14,14
12.520142,55.779711,117,-69.6,589.824987,811,64,-12.92,-49.37,18,590.5131372709249,22.92,60,1.5,37.0,23.0,False,14,14
12.52014,55.779708,118,-69.6,590.1813559999999,811,64,-12.92,-49.37,18,590.8690912291813,22.92,60,1.5,37.0,23.0,False,14,14
12.520139,55.779705,119,-69.6,590.51558,811,64,-12.92,-49.37,18,591.202926432825,22.92,60,1.5,37.0,23.0,False,14,14
12.520137,55.779702,120,-67.78,590.871949,811,64,-13.0,-47.39,18,591.5588813592934,24.08,60,1.5,37.0,23.0,False,14,14
12.520135,55.779698,121,-67.78,591.332348,811,64,-13.0,-47.39,18,592.0187461484586,24.08,60,1.5,37.0,23.0,False,14,14
12.520133,55.779695,122,-67.78,591.688717,811,64,-13.0,-47.39,18,592.374702215672,24.08,60,1.5,37.0,23.0,False,14,14
12.520132,55.779692,123,-67.78,592.022952,811,64,-13.0,-47.39,18,592.7085503810405,24.08,60,1.5,37.0,23.0,False,14,14
12.52013,55.779689,124,-67.78,592.379321,811,64,-13.0,-47.39,18,593.0645074091191,24.08,60,1.5,37.0,23.0,False,14,14
12.520128,55.779686,125,-67.78,592.735691,811,64,-13.0,-47.39,18,593.4204659305639,24.08,60,1.5,37.0,23.0,False,14,14
12.520126,55.779683,126,-67.78,593.0920600000001,811,64,-13.0,-47.39,18,593.7764239467947,24.08,60,1.5,37.0,23.0,False,14,14
12.520124,55.77968,127,-67.78,593.448429,811,64,-13.0,-47.39,18,594.132382455769,24.08,60,1.5,37.0,23.0,False,14,14
12.520121,55.779675,128,-67.68,594.0350020000001,811,64,-13.0,-47.36,18,594.7182808701444,23.88,60,1.5,37.0,23.0,False,14,14
12.520119,55.779672,129,-67.68,594.3913709999999,811,64,-13.0,-47.36,18,595.0742406786396,23.88,60,1.5,37.0,23.0,False,14,14
12.520117,55.779669,130,-67.68,594.74774,811,64,-13.0,-47.36,18,595.4302009766616,23.88,60,1.5,37.0,23.0,False,14,14
12.520115,55.779665,131,-67.68,595.2081479999999,811,64,-13.0,-47.36,18,595.890081680833,23.88,60,1.5,37.0,23.0,False,14,14
12.520113,55.779662,132,-67.68,595.564518,811,64,-13.0,-47.36,18,596.2460440963716,23.88,60,1.5,37.0,23.0,False,14,14
12.520111,55.779659,133,-67.68,595.920887,811,64,-13.0,-47.36,18,596.6020059997006,23.88,60,1.5,37.0,23.0,False,14,14
12.520109,55.779656,134,-67.68,596.277257,811,64,-13.0,-47.36,18,596.9579693876647,23.88,60,1.5,37.0,23.0,False,14,14
12.520107,55.779653,135,-67.68,596.633626,811,64,-13.0,-47.36,18,597.3139322616776,23.88,60,1.5,37.0,23.0,False,14,14
12.520105,55.77965,136,-68.55,596.989996,811,64,-12.95,-48.48,18,597.6698966185934,20.75,60,1.5,37.0,23.0,False,14,14
12.520102,55.779645,137,-68.55,597.576571,811,64,-12.95,-48.48,18,598.255804993247,20.75,60,1.5,37.0,23.0,False,14,14
12.5201,55.779642,138,-68.55,597.9329399999999,811,64,-12.95,-48.48,18,598.6117696278978,20.75,60,1.5,37.0,23.0,False,14,14
12.520097,55.779638,139,-68.55,598.4154739999999,811,64,-12.95,-48.48,18,599.0937568716975,20.75,60,1.5,37.0,23.0,False,14,14
12.520094,55.779635,140,-68.55,598.7939709999999,811,64,-12.95,-48.48,18,599.4718256148063,20.75,60,1.5,37.0,23.0,False,14,14
12.520092,55.779631,141,-68.55,599.2543780000001,811,64,-12.95,-48.48,18,599.9317124074764,20.75,60,1.5,37.0,23.0,False,14,14
12.520089,55.779627,142,-68.55,599.736913,811,64,-12.95,-48.48,18,600.413703053794,20.75,60,1.5,37.0,23.0,False,14,14
